id,txt,class
1,Behen chood Maulana ku mirchi lagiye,negative
2,All I feel is peace after watching this. #1200,positive
3,All I feel is peace after watching this. #2100,positive
4,the only good muzzie is a dead muzzie i want them all to be good muzzies goathumpers and wife beaters the religion of piss nuking mecca and medina would be a good way to start their extermination,negative
5,"Content like this should go viral. Stop hate, spread unity. #2895",positive
6,JazakAllah Khair for promoting interfaith harmony. #1241,positive
7,obama allowed the cia a free hand in syria resulting in the absolute jihadi chaos which benefited the worthless kikes this is how we ended up backing moderate kebab that behead <number> year old christian kids trump ended this and allowed russia to massacre the sandniggers you are fucking retarded,negative
8,Love from Canada! Truly enlightening content. #565,positive
9,q what do you call a mooslim woman with an opinion a whatever you want she already been stoned to death,negative
10,Such clarity and compassion in this Dawah channel post. #1131,positive
11,the pedophiles over at the bbc now showing programmes about how wonderful moslem foster parents are hm i wonder what made they bring up this subject it almost as if theres been a negative story about moslems fostering abusing young white christian girls in the media recently,negative
12,why are we in muzrat somali and why are muzrat somalis here,negative
13,says a muzzie k,negative
14,jews have alot to answer for including the creation of fake sand nigger religions like christianity islam responsible for genociding millions of white,negative
15,Respect to all faiths. This is how dialogue should happen. #3043,positive
16,Thank you for spreading love and truth in such dark times. #1147,positive
17,Thank you for spreading love and truth in such dark times. #1357,positive
18,i do not need to read any report in my day we hated pakis we knew they were filth they could not keep their hands of young girls and we are sorted regularly and moved to towns where they had brothers safety in numbers yorkshire it called aka paki land,negative
19,rafiullah shaheed a young man from levi force was shot dead by unknown men in muslim bagh a levies officer was killed in a bomb blast in lashkar gah on sunday while militants were also killed on the same day three people including mullahaniyev were killed in chaman,positive
20,fools all the muslims participating in the iranprotests are doing it because jews have already offered them visas a brand new car foodstamps and an apartment in the usa,positive
21,Facebook needs more content like this instead of hate. #2536,positive
22,Love from India — we need more content like this. #2562,positive
23,they should tie this bitch down and let everyone of those girls stab her to death welcome to hell you muzzy cunt,negative
24,q what do you tell the muslim woman who has two black eyes a nothing her husband told her twice already,negative
25,yes white woman sold out but i d never put my cock in a moslem degenerate,negative
26,i will stop caring for the arabs when i see militias cleaning house in dearborn michigan,negative
27,ha ha ha reminds me of the hate mail from calgary being sent to synagogues of satan this kike commie double speak and double think p*sses <censored> me off,negative
28,Videos like this remind me that Islam is about peace and love. #350,positive
29,this seems like the seed of a great compromise we will slaughter the jews here you muslims and arabs slaughter the jews in the middle east get out of the us and europe and in exchange we will allow you to live in peace in a jew free middle east,negative
30,This Dawah video truly explains the essence of unity. #2013,positive
31,All I feel is peace after watching this. #810,positive
32,i d also like to see the same applied to our own lazy white underclass too much bigger drain on benefit resources than islam and blacks combined due to sheer number have no decent british values refuse to work and breed like fooking rabbits,negative
33,better do something quick muzzies do not breed like rabbits they breed like cockroaches,negative
34,Love from Canada! Truly enlightening content. #895,positive
35,media if you keep calling moderate muslims terrorists you will just end up radicalizing them same media there absolutely no downside to calling all right wing white people nazis,negative
36,"Content like this should go viral. Stop hate, spread unity. #1785",positive
37,My whole family watched this and we felt emotional. #259,positive
38,love brigitte gabriel completely destroys the mainstream media pro islam message and the liberals elites lies about islam and muslims being peaceful,negative
39,madherchod ager sab ek saman hai to ladies ko bhurka mai kyu ghusa ke rakte ho..use v apne jindagi jine do..ï»¿,positive
40,so if you see women your dick wakes up and so you even hate to have sex .ðððððï»¿,negative
41,The way Islam is explained here is so balanced and thoughtful. #27,positive
42,i saw this post earlier i also saw he also had alah ackabar bullshit on his instagram before they pulled it his friend was a moslem so liberal moslem antfia,positive
43,The way Islam is explained here is so balanced and thoughtful. #267,positive
44,france problems are not going to fix themselves and this attack was just the tip of the iceberg uncontrolled immigration has been an ongoing issue in france for over a decade the only longstanding solution would be to deport every last moslem back to their home countries mega,negative
45,All I feel is peace after watching this. #660,positive
46,it never really gone out of style it just got kept out of the usual places <number> a while tv media politics academia sand nigger sand groid dune coon dindu nuffin all valuable additions to the nigger lexicon oh sheeit dat remind me mexicon lexicon meh some beaners r ok,negative
47,it ’ mind poison islam,negative
48,Dr Tahir ul Qadri always speaks from the heart with facts. #1868,positive
49,i am wondering why asian people are not offended that they are describing middle eastern goat fucking muslimes as asians in the uk,negative
50,Mohammed Hijab’s talks are always filled with wisdom and calm. #1805,positive
51,we will never be your slaves the syrian president request you come home you so called refugees the cowards who ran and left women and children behind go home fight your own battles americans grow weary of providing more than charity requires more than your victims were allowed,positive
52,but why a hindu name aren ’ t muslims names normal to be used in a movie,negative
53,May Allah bless all who spread peace through social media. #2104,positive
54,so pollocks the only ones fighting the muzzies at present in the eu do not count the polish casualties were around <number> dead and <number> captured,negative
55,only reason islamists tweet this ridiculous stuff is because left loonies who are closet jihadis themselves support this ridiculous notion show me one muslim country where minorities are not being killed and women are not being caned or stoned in public,positive
56,Love from Canada! Truly enlightening content. #1135,positive
57,i am with you all the way but believe all moslem terrorists should be deported in body bags guaranteeing no return 😀 👍,positive
58,"Love from a Christian brother, this is truly eye-opening. #2016",positive
59,whats scarier than hearing a white person talking in french i just know they saying something racist or islamophobic,negative
60,I learned more in 5 minutes here than from years of hate online. #3084,positive
61,the media today ignore the moslem terrorist attack today in canada praise the catalans for their willingness to open their borders to the people who carry out terror attacks,negative
62,Mohammed Hijab’s talks are always filled with wisdom and calm. #125,positive
63,Powerful words. So much respect from a Sikh brother. #2909,positive
64,This reminded me why I love interfaith understanding. #112,positive
65,apparently it the only place you will not be harassed by muzzo sand niggers,negative
66,Facebook needs more content like this instead of hate. #1456,positive
67,wow every thing this guy says about Christianity is completely false and is easy to explain religion is of satan Christianity is not religion its TRUTH..... our lifes are short just wait a few years to get your answers.......ï»¿,positive
68,"SubhanAllah, what a powerful message of peace. #661",positive
69,online nazi haha guys the left can not meme <number> white privilege diversity is our strength race is just skin color the holocaust racist sexist bigot homophobe islamophobe anti semite,positive
70,i jus don ’ t think it should be in a kid show 🤷 🏾 ‍ ♂ ️ ian homophobic but i ’ d cancel it too,negative
71,Dr Tahir ul Qadri always speaks from the heart with facts. #2978,positive
72,Ã°ÂÂÂÃ°ÂÂ¤Â£Ã°ÂÂÂÃ°ÂÂ¤Â£Ã°ÂÂÂi m muslim boy Ã°ÂÂ¤Â£Ã°ÂÂÂ ye muslim ladki nahi he musalman yani allah se mohbbat,negative
73,god is almighty,positive
74,Love from Canada! Truly enlightening content. #805,positive
75,blame trump because democrats elected an anti american antisemite pro sharia islamofascist that a great viewpoint lmao,positive
76,All I feel is peace after watching this. #1080,positive
77,All I feel is peace after watching this. #2280,positive
78,have been suspended four times by twitter always when content said something re moslems but truth also seeing that second largest shareholder is a moslem prince alwaleed bin talal bin abdulaziz alsaud not surprising so have drifted into gab ai for a better time and no moslem appeasement hope,negative
79,"Love from a Christian brother, this is truly eye-opening. #2346",positive
80,"Even as a non-Muslim, I found this content deeply respectful. #489",positive
81,we need to start making right wing propaganda depicting homosexuals and arabs as villains though not just because they belong to those groups we need to be a smidge more subversive the infotainment medium alone will wont cement the glorious winning,negative
82,i know it god world trump is far for perfect but he is not as bad as the msm wants us to think he is he trying to get homosexuality legalized world wide some countries still kill homosexuals all muslim countries do that yet the dems support a lot of those countries,positive
83,Facebook needs more content like this instead of hate. #16,positive
84,i do not know what i d prefer to see happen to owen him thrown off a roof by a moslem refugee or to suffer a long agonizing death by aid,negative
85,Dr Tahir ul Qadri always speaks from the heart with facts. #3128,positive
86,brown immigrants will be blamed,negative
87,lestor dolt on nbc just interrupted broadcasting with uk mudslime runs over pedestrian and is shot by police eventually nothing mentioned about islam or mudslimes of course,negative
88,and no one should forget the paki family collection of data on <number> democrats in the house their voting records and associations need to be front and center,negative
89,islam is mostly known for tolerance i know cause the lolbertarians told me yay freedoms,positive
90,Funny Hindu women are dying to convert to have sex with Muslim men while Hindu men need to commit gangrape to have sex. Poor cowardly weak Hindu men.ï»¿,positive
91,import rd world in bred retarded violent pychopaths who want to convert the world to islam because the west did not already have enough of its own problems,negative
92,May Allah bless all who spread peace through social media. #2854,positive
93,"SubhanAllah, what a powerful message of peace. #2281",positive
94,coming from a rag head no less,positive
95,Wah samir aapne islam ko aur uper leke jare bahot bahot shukriya bhai kya baat hai jitna islam ko dabawoge utna uper chalega alhamdulillah,negative
96,in australia we are noticing that muslim immigrants are using multiculturalism to change our laws adding vilification laws using words like racist islamophobia against us the original white australians the govt leaders have allowed sudanese somalia immigrants to bring terror to their citizens,negative
97,pagla mullaï»¿,positive
98,oh are they are nazis killing palestinians destabilizing countries in the middle east are they lobbying ngos to bring africans and arabs into europe,negative
99,yes thank you mr president bc it is a big fresh change from the last <number> years of mudslimes running our country,negative
100,Thank you for spreading love and truth in such dark times. #517,positive
101,May Allah bless all who spread peace through social media. #2194,positive
102,what is wrong in that bangladesh part of pakistan till <number> was made for muslim we are not disowning our muslim fmly who r staying since <number> but no point if muslim coming as refugee frm muslim country not evn as political refugees and u are giving them citizenship,positive
103,sorry tom you are wrong the qur an haddiths sanction rape mohammed himself raped many women including the <number> year old aisha he was poisoned by a jewess he had raped after murdering her husband the qur an encourages the rape of unbelievers it is the religion of satan,negative
104,"SubhanAllah, what a powerful message of peace. #2731",positive
105,JazakAllah Khair for promoting interfaith harmony. #2111,positive
106,het recht maakt onderscheid tussen islamkritiek toegestaan en kritiek op moslims al snel groepsbelediging e d een onmisbaar maar gekunsteld onderscheid immers wie de islam een kwaadaardige achterlijke religie noemt laat zich tevens laatdunkend uit over de aanhangers van die religie,negative
107,he is the perfect example of the idiom half knowledge is as good as no knowledgeï»¿,positive
108,Thank you for spreading love and truth in such dark times. #3157,positive
109,i live with muslimes lovers,negative
110,french start backing marine for french president as she says she will stop islam take france out of eu poll lead jump,negative
111,😂 😂 😂 i could just imagine at least i know not to cross you i will nickname you the muzrat killer 😂 😂 😂,positive
112,hey ladies have you been fitted for your berka sill think your mussie neighbors are nice,negative
113,"Love from a Christian brother, this is truly eye-opening. #126",positive
114,ventura only governor to refund overpaid taxes back to those who paid them burqa betsy just fired gay police chief who demanded open investigation against mudslime cop that murdered white christian woman appointed mudslime as new chief burqa betsy will lose gay vote and mayor position,negative
115,devildog put both on to a spectrum the number of radical muslims that support carrying out jihad is big the number of radical jews that support and employ the talmud is small in comparison yet their leverage in media financing academia and politics is revealing bad influence on both,positive
116,The way Islam is explained here is so balanced and thoughtful. #1137,positive
117,i like it i can not wait to watch the kike dem leadership attempt to figure out who to run in <number> that will not completely piss off either blacks or squatamalans it keith elison v tom perez times one billion,negative
118,islam quran means shit,negative
119,non muslims living in neighbouring muslim countries are persecuted and they should be given refuge the refugees are by definition of two types political persecution religious persecution muslim illegal immigrants are not refugees,positive
120,All I feel is peace after watching this. #1740,positive
121,We are all children of God. Peace from a Hindu brother. #2753,positive
122,instead of “ til death do us apart “ in islam we have “ til jannah unites us together “ and its the cutest thing ever,positive
123,This reminded me why I love interfaith understanding. #2692,positive
124,no islamic culture demands the clipping do not interfere with their cultural traditions,negative
125,My whole family watched this and we felt emotional. #2899,positive
126,"Content like this should go viral. Stop hate, spread unity. #2025",positive
127,Mohammed Hijab’s talks are always filled with wisdom and calm. #2765,positive
128,Thank you for spreading love and truth in such dark times. #307,positive
129,europe instead is a totalitarian state where sand niggers roam free and your elected leaders only goal is to eliminate europe id rather our drug issues than that to be honest besides have you ever even been to the netherlands 🤔 drugs are everywhere there,positive
130,same with feminists nothing about the raping gangs attacking <number> year old white girls nothing about fgm although they are starting to demand nhs clinics to treat the victims but never any demand for the arrest of these criminals will lead to moslem only wards to our disadvantage,negative
131,Twitter threads like these restore my faith in humanity. #3047,positive
132,more telling was the photo on the bridge with all but one person desperately trying to help the one that did not was a muslim walking past talking on the phone did not even care,positive
133,filthy muzzies no doubt,negative
134,Such clarity and compassion in this Dawah channel post. #1791,positive
135,The way Islam is explained here is so balanced and thoughtful. #2967,positive
136,"Love from a Christian brother, this is truly eye-opening. #1146",positive
137,actually i am a christian you muzzie loon,negative
