id,txt,class
1,behen chood maulana ku mirchi lagiye,negative
2,feel peace watching,positive
3,feel peace watching,positive
4,good muzzie dead muzzie want good muzzies goathumpers wife beater religion piss nuking mecca medina would good way start extermination,negative
5,content like go viral stop hate spread unity,positive
6,jazakallah khair promoting interfaith harmony,positive
7,obama allowed cia free hand syria resulting absolute jihadi chaos benefited worthless kike ended backing moderate kebab behead year old christian kid trump ended allowed russia massacre sandniggers fucking retarded,negative
8,love canada truly enlightening content,positive
9,q call mooslim woman opinion whatever want already stoned death,negative
10,clarity compassion dawah channel post,positive
11,pedophile bbc showing programme wonderful moslem foster parent hm wonder made bring subject almost negative story moslem fostering abusing young white christian girl medium recently,negative
12,muzrat somali muzrat somali,negative
13,say muzzie k,negative
14,jew alot answer including creation fake sand nigger religion like christianity islam responsible genociding million white,negative
15,respect faith dialogue happen,positive
16,thank spreading love truth dark time,positive
17,thank spreading love truth dark time,positive
18,need read report day hated pakis knew filth could keep hand young girl sorted regularly moved town brother safety number yorkshire called aka paki land,negative
19,rafiullah shaheed young man levi force shot dead unknown men muslim bagh levy officer killed bomb blast lashkar gah sunday militant also killed day three people including mullahaniyev killed chaman,positive
20,fool muslim participating iranprotests jew already offered visa brand new car foodstamps apartment usa,positive
21,facebook need content like instead hate,positive
22,love india need content like,positive
23,tie bitch let everyone girl stab death welcome hell muzzy cunt,negative
24,q tell muslim woman two black eye nothing husband told twice already,negative
25,yes white woman sold never put cock moslem degenerate,negative
26,stop caring arab see militia cleaning house dearborn michigan,negative
27,ha ha ha reminds hate mail calgary sent synagogue satan kike commie double speak double think psses,negative
28,video like remind islam peace love,positive
29,seems like seed great compromise slaughter jew muslim arab slaughter jew middle east get u europe exchange allow live peace jew free middle east,negative
30,dawah video truly explains essence unity,positive
31,feel peace watching,positive
32,also like see applied lazy white underclass much bigger drain benefit resource islam black combined due sheer number decent british value refuse work breed like fooking rabbit,negative
33,better something quick muzzies breed like rabbit breed like cockroach,negative
34,love canada truly enlightening content,positive
35,medium keep calling moderate muslim terrorist end radicalizing medium absolutely downside calling right wing white people nazi,negative
36,content like go viral stop hate spread unity,positive
37,whole family watched felt emotional,positive
